Iteration,Tool,Size,Scenario,RunIndex,PhaseName,Sequence,MetricValue,CaseName,MetricName
4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,12,324240376,LowSynchCase,PeakMemory
4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,12,216811600,LowSynchCase,AverageMemory
5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Modification,13,94040,LowSynchCase,Time
5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,Modification,13,87925112,LowSynchCase,Memory
5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,14,244491340,LowSynchCase,Time
5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,14,87946984,LowSynchCase,Memory
5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,14,324264472,LowSynchCase,PeakMemory
5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,M2MTransformation2,14,216837732,LowSynchCase,AverageMemory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,EMFResourceInitialization,1,419901,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,EMFResourceInitialization,1,11180632,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,Generation,2,31149893594,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,Generation,2,2488634456,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,Initialization,3,4915093705,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,Initialization,3,668998312,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,Initialization,3,1055914226,LowSynchCase,AverageMemory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,Initialization,3,1894567400,LowSynchCase,PeakMemory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,M2MTransformation1,4,21693262638,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,M2MTransformation1,4,1410227696,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,M2MTransformation1,4,1912382825,LowSynchCase,AverageMemory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,M2MTransformation1,4,3901006584,LowSynchCase,PeakMemory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,Modification,5,111017,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,Modification,5,1410228504,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,M2MTransformation2,6,24817117894,LowSynchCase,Time
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,M2MTransformation2,6,1410521680,LowSynchCase,Memory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,M2MTransformation2,6,3911953736,LowSynchCase,PeakMemory
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,M2MTransformation2,6,2214689382,LowSynchCase,AverageMemory
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,Modification,7,79698,LowSynchCase,Time
2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,512,BasicXform,3,Modification,7,1410522512,LowSynchCase,Memory
